,Date,ID,Name,NEO ID,NASA_JPL_URL,Absolute_Magnitude_in H,Is Potentially Hazardous,Max Diameter (m),Min Diameter (m),Close Approach Date,Miss Distance (km),Relative Velocity (km/h),Orbiting Body
0,2025-01-07,2226514,226514 (2003 UX34),2226514,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2226514,20.2,True,542.0507863358,242.4124811008,2025-01-07,18491518.333246633,59576.37781234,Earth
1,2025-01-07,2438017,438017 (2003 YO3),2438017,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2438017,18.59,False,1137.7320143896,508.8092248706,2025-01-07,12136349.850259921,54996.3046806422,Earth
2,2025-01-07,2481442,481442 (2006 WO3),2481442,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=2481442,21.58,False,287.1044862548,128.3970295822,2025-01-07,58239736.599652437,77935.954023887,Earth
3,2025-01-07,3485806,(2010 AL60),3485806,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3485806,22.4,False,196.8067450894,88.0146520901,2025-01-07,9414482.23419549,32361.4464638662,Earth
4,2025-01-07,3723888,(2015 NU2),3723888,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3723888,20.91,True,390.8768761237,174.8054531691,2025-01-07,73466998.517538915,68881.0703726326,Earth
5,2025-01-07,3771633,(2017 FZ2),3771633,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3771633,26.6,False,28.4472296503,12.7219878539,2025-01-07,43675472.560049036,27485.3820705561,Earth
6,2025-01-07,3792462,(2017 YD),3792462,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3792462,25.5,False,47.2106498806,21.113244479,2025-01-07,10536583.499046209,17691.4977576082,Earth
7,2025-01-07,3837883,(2019 AO12),3837883,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837883,25.6,False,45.0858206172,20.1629919443,2025-01-07,72072116.412508345,87401.5535619302,Earth
8,2025-01-07,3842657,(2019 KJ4),3842657,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3842657,27.4,False,19.6806745089,8.801465209,2025-01-07,49392413.894222798,34290.1468082932,Earth
9,2025-01-07,54340445,(2023 BO8),54340445,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340445,26.66,False,27.6719636665,12.3752783658,2025-01-07,44602775.422232652,53853.5529937037,Earth
10,2025-01-07,54509167,(2024 YH4),54509167,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54509167,22.558,False,182.9953182024,81.8379942129,2025-01-07,13066136.725235739,81074.5189633472,Earth
11,2025-01-07,54509629,(2024 YZ4),54509629,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54509629,21.685,False,273.5520531775,122.3361972579,2025-01-07,19239009.477460172,99517.3868228753,Earth
12,2025-01-07,54512615,(2024 YZ9),54512615,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54512615,25.147,False,55.5443614991,24.8401936158,2025-01-07,3623223.789841424,30744.1100218168,Earth
13,2025-01-07,54513036,(2024 YW12),54513036,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54513036,23.597,False,113.4070304852,50.7171658583,2025-01-07,14880072.12939393,49077.7685452444,Earth
14,2025-01-07,54516186,(2025 BM),54516186,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54516186,23.234,False,134.0417159212,59.9452777241,2025-01-07,14043764.625042882,37970.9401613069,Earth
15,2025-01-06,3704144,(2015 AC246),3704144,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3704144,23.4,False,124.1766612574,55.5334911581,2025-01-06,52820770.795492233,21823.557432531,Earth
16,2025-01-06,3781585,(2017 SK2),3781585,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3781585,23.2,False,136.1570015386,60.8912622106,2025-01-06,66024505.621982727,19273.0559039038,Earth
17,2025-01-06,3785681,(2017 TU1),3785681,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3785681,26.2,False,34.201092472,15.2951935344,2025-01-06,67762561.052052937,53321.9785063697,Earth
18,2025-01-06,3843671,(2019 QY4),3843671,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3843671,27.6,False,17.948988478,8.0270316728,2025-01-06,52117749.562908504,65537.9276345136,Earth
19,2025-01-06,3989263,(2020 BP11),3989263,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3989263,26.8,False,25.9441817907,11.6025908209,2025-01-06,35406461.066845676,56764.4031185162,Earth
20,2025-01-06,54269715,(2022 GE3),54269715,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54269715,23.14,False,139.9716166857,62.597209966,2025-01-06,24683064.190800206,28658.5459814199,Earth
21,2025-01-06,54293876,(2020 AQ24),54293876,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54293876,24.98,False,59.9846292283,26.8259417119,2025-01-06,48896961.187282982,71526.2723131313,Earth
22,2025-01-06,54503221,(2024 XR4),54503221,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54503221,22.93,False,154.1842379994,68.9532874451,2025-01-06,23945357.839349118,26087.4527655051,Earth
23,2025-01-06,54509100,(2024 YW3),54509100,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54509100,25.161,False,55.1874056926,24.6805581261,2025-01-06,2156544.131876664,44134.7811412716,Earth
